Protein Domain,AI Domain,Degree,Betweeness,Eigen Closness,Trails,Drugs,Cosmic,Cancer gene,Publications,Class
0,0,0.218421053,0.000955217,0.002414871,0,0,0,1,0,1
0,1,0.127631579,0.011441441,7.05E-04,1,0,1,1,0.015291937,1
0,0,0.190789474,0.090476342,0.001689289,1,0,1,1,0.021316033,1
0,0,0.276315789,0.050463063,0.001639707,1,0,1,1,0.135773865,1
0,0,0.025,0.006459459,1.13E-05,0,0,1,1,0.000926784,1
0,0,0.060526316,0.002279279,5.27E-05,1,0,0,1,0.000463392,1
0.666666667,0,0.032894737,0.00066036,7.01E-05,1,0,1,1,0.008804449,1
0,0,0.006578947,0,4.37E-06,1,0,0,1,0,1
0,0,0.071052632,0.003441441,3.46E-04,1,0,1,1,0.003707136,1
0,0,0.047368421,0.001801802,6.94E-05,0,0,0,1,0.000463392,1
0,0,0.031578947,0.003009009,2.34E-05,0,0,1,1,0.023169601,1
0,0,0.048684211,0.006711712,4.61E-04,0,0,1,1,0.002780352,1
0,0,0.061842105,0.004936937,2.07E-04,1,0,1,1,0.00463392,1
0,0,0.103947368,0.008063784,0.001316334,1,1,1,1,0.003243744,1
0,0,0.053947368,0.002459459,1.09E-04,0,0,1,1,0.001853568,1
1,0,0.172368421,0.013873874,6.63E-04,0,0,1,1,0.000463392,1
0,0,0.036842105,0.000981982,2.69E-05,0,0,1,1,0,1
0.5,0,0.086842105,0.005495495,8.63E-04,1,0,1,1,0.010194625,1
1,0,0.031578947,0.003099099,2.47E-05,0,0,0,1,0.000926784,1
0,0,0.006578947,8.95E-05,1.55E-05,0,0,1,1,0.000463392,1
0,0,0.002631579,0,1.09E-06,0,0,1,1,0,1
1,0,0.059210526,0.001246847,0.001385694,0,0,0,1,0,1
0.210526316,0,0.118421053,0.028918919,9.82E-04,0,0,0,1,0.000926784,1
0,0,0.036842105,0.00572973,1.25E-05,0,0,1,1,0.004170528,1
0,0,0.060526316,0.002576577,1.90E-04,0,0,0,1,0.003707136,1
0,0,0.017105263,0.001621622,3.28E-05,0,0,0,1,0,1
0,0,0.096052632,0.006585586,1.22E-04,1,0,0,1,0.00463392,1
0,0,0.038157895,0.001558559,1.25E-04,0,0,1,1,0.002780352,1
0,0,0.028947368,0.000823423,4.29E-05,0,0,0,1,0.007414272,1
